                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66155,                 3.0893,                 0.3323,                0.42588,                 1.0042,                0.97792,                 0.9699,                0.99094,                0.89141,                0.85459,                0.81816,                0.83221,                0.63202,                0.56501,                 2.1841,                0.06384,                 0.3177,                0.84449,              0.0033304,              0.0033304,              0.0033304
                      2,                0.68828,                 3.2883,                0.33172,                0.44352,                  1.011,                0.97266,                0.97494,                0.99048,                0.87939,                0.85137,                0.79803,                0.81434,                0.60057,                0.60138,                 2.3437,                0.08387,                0.33676,                0.86074,              0.0066308,              0.0066308,              0.0066308
                      3,                0.73579,                 3.6267,                0.33771,                   0.48,                 1.0255,                0.96469,                0.96977,                 0.9887,                0.84554,                0.76876,                 0.7167,                0.64692,                0.42979,                0.68335,                 2.9563,                0.09473,                0.40627,                0.89078,              0.0098981,              0.0098981,              0.0098981
                      4,                0.78146,                 3.9783,                0.34663,                0.51978,                 1.0421,                0.96564,                 0.9647,                0.98744,                0.84578,                0.84038,                0.76396,                0.77606,                0.52309,                0.68294,                  2.656,                0.10762,                0.40801,                0.89217,              0.0098515,              0.0098515,              0.0098515
                      5,                0.79104,                 4.0464,                0.34754,                0.52356,                 1.0472,                0.96954,                0.96542,                0.98899,                0.84823,                0.81632,                0.73899,                0.73731,                0.49231,                0.68469,                 2.8345,                0.10432,                0.41386,                0.89527,               0.009802,               0.009802,               0.009802
                      6,                0.78872,                 3.9874,                0.34823,                0.52212,                 1.0461,                0.97162,                 0.9717,                0.98881,                0.84939,                0.85057,                0.76909,                0.78555,                0.53709,                0.68557,                 2.5934,                0.10483,                0.40342,                0.88468,              0.0097525,              0.0097525,              0.0097525
                      7,                0.78441,                 3.9632,                0.34318,                  0.521,                 1.0431,                0.96441,                0.96811,                0.98841,                0.83565,                0.82337,                 0.7439,                0.74291,                0.51584,                0.69734,                 2.7461,                0.11199,                0.40329,                0.89273,               0.009703,               0.009703,               0.009703
                      8,                0.77957,                 3.9395,                0.34519,                0.51854,                 1.0442,                0.96628,                 0.9708,                0.98902,                0.85531,                0.84233,                0.76429,                0.77671,                0.55269,                0.65553,                 2.5976,                 0.1021,                0.39214,                0.88628,              0.0096535,              0.0096535,              0.0096535
                      9,                  0.784,                 3.9919,                0.34074,                0.51789,                 1.0439,                0.96431,                0.96559,                0.98908,                0.86131,                0.83454,                0.74974,                0.76505,                0.54265,                0.65165,                 2.6612,                0.09411,                0.38802,                0.88001,               0.009604,               0.009604,               0.009604
                     10,                0.77568,                 3.9089,                0.34253,                0.51199,                 1.0426,                0.97278,                0.96427,                0.98968,                0.86136,                0.84053,                0.77765,                0.79417,                0.56519,                0.64715,                 2.5498,                0.10734,                0.38474,                0.88178,              0.0095545,              0.0095545,              0.0095545
                     11,                0.77564,                 3.9031,                0.33918,                0.51312,                 1.0429,                0.97176,                0.96132,                0.98858,                0.85385,                0.83713,                0.76688,                0.76003,                0.54422,                0.65381,                 2.5375,                0.11044,                0.38902,                0.88323,               0.009505,               0.009505,               0.009505
                     12,                0.76358,                 3.8417,                  0.337,                0.50752,                 1.0378,                0.96905,                0.96647,                0.98993,                0.85796,                0.83513,                0.77369,                0.77828,                0.56467,                0.66558,                 2.5172,                0.09936,                0.38104,                0.88463,              0.0094555,              0.0094555,              0.0094555
                     13,                0.76616,                 3.8164,                0.33788,                0.50529,                 1.0398,                0.96761,                 0.9644,                0.98897,                0.85874,                0.83279,                0.77318,                0.77594,                0.56146,                0.64739,                 2.4825,                0.09884,                0.38027,                0.88248,               0.009406,               0.009406,               0.009406
                     14,                0.77326,                 3.8487,                0.33334,                0.51047,                 1.0402,                0.96857,                0.97103,                0.98936,                0.86598,                 0.8253,                0.77715,                0.78195,                0.57611,                0.63927,                 2.5141,                0.10147,                0.37187,                0.87653,              0.0093565,              0.0093565,              0.0093565
                     15,                0.75677,                  3.769,                0.33118,                0.49874,                 1.0343,                0.97038,                0.96492,                0.98908,                0.86302,                 0.8253,                0.76716,                0.75398,                0.54943,                0.63504,                  2.553,                0.10221,                0.37828,                0.87954,               0.009307,               0.009307,               0.009307
                     16,                0.75917,                 3.7762,                0.33087,                0.49607,                 1.0351,                0.96958,                0.97426,                 0.9891,                0.87038,                0.82635,                0.77267,                0.77901,                0.58493,                 0.6284,                 2.5007,                0.10366,                0.36942,                0.87636,              0.0092575,              0.0092575,              0.0092575
                     17,                0.76051,                 3.7462,                0.32835,                0.49695,                 1.0362,                 0.9694,                0.96644,                0.98941,                 0.8672,                0.82431,                0.77702,                0.77051,                0.57083,                0.61945,                 2.4633,                0.08984,                0.36669,                0.87091,               0.009208,               0.009208,               0.009208
                     18,                0.75683,                 3.7133,                0.32448,                0.50095,                 1.0362,                 0.9697,                0.97208,                0.99008,                0.87573,                0.82467,                0.78394,                0.78938,                  0.598,                0.61425,                 2.4436,                0.09121,                0.36451,                0.87395,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.7548,                 3.7074,                0.32396,                0.49638,                 1.0356,                0.96821,                0.97157,                0.98967,                0.87104,                0.86122,                0.78603,                0.80722,                0.60208,                0.61376,                 2.3113,                0.09521,                0.36506,                0.87509,               0.009109,               0.009109,               0.009109
                     20,                 0.7559,                 3.7026,                0.32177,                0.49514,                 1.0356,                0.97064,                0.97669,                0.99087,                0.87687,                0.84638,                0.79022,                0.80622,                0.61273,                0.60856,                 2.3433,                0.08966,                0.35354,                0.87372,              0.0090595,              0.0090595,              0.0090595
                     21,                0.74724,                 3.6446,                0.32316,                0.49097,                 1.0326,                0.97117,                 0.9708,                0.98946,                0.87736,                0.83519,                0.78988,                0.80953,                 0.6247,                0.60204,                 2.3473,                0.09444,                0.35344,                 0.8722,                0.00901,                0.00901,                0.00901
                     22,                0.75507,                 3.6924,                0.31841,                0.49506,                  1.033,                0.97111,                0.97567,                0.99029,                0.87662,                0.85257,                 0.8073,                0.81273,                0.61642,                0.60914,                 2.2421,                0.09106,                0.35421,                0.86937,              0.0089605,              0.0089605,              0.0089605
                     23,                0.74663,                 3.6318,                0.31698,                  0.485,                 1.0292,                0.97035,                0.97248,                0.98971,                0.88129,                0.84688,                0.81676,                0.82255,                  0.633,                0.60453,                 2.1946,                0.08791,                0.34843,                0.86779,               0.008911,               0.008911,               0.008911
                     24,                0.74733,                 3.6676,                0.31589,                0.49062,                 1.0316,                0.97407,                0.97515,                0.99019,                0.87821,                0.85535,                0.81037,                0.81557,                0.62113,                0.59877,                 2.2108,                0.08718,                0.34899,                0.86895,              0.0088615,              0.0088615,              0.0088615
